country_name,avg_aqi_value,longitude,latitude
Afghanistan,95.95918367,66.2385139,33.7680065
Albania,68.25,-73.9151617,5.7587654
Algeria,88.16666667,2.9999825,28.0000272
Andorra,29.33333333,1.5732033,42.5407167
Angola,83.92592593,17.5691241,-11.8775768
Argentina,28.44927536,-64.9672817,-34.9964963
Armenia,53.63636364,-75.74135085,4.49197615
Aruba,163,-69.9618475,12.5013629
Australia,33.6,134.755,-24.7761086
Austria,53.72058824,14.12456,47.59397
Azerbaijan,58.76315789,47.7872508,40.3936294
Bahrain,188,50.55333679,26.030093
Bangladesh,113.4625,36.0514231,-0.2864982
Barbados,73,-59.5250305,13.1500331
Belarus,38.45454545,27.6971358,53.4250605
Belgium,44.58098592,4.6667145,50.6402809
Belize,46.33333333,-88.6859028,17.1204943
Benin,67.11111111,2.2584408,9.5293472
Bhutan,26,90.5119273,27.549511
Bolivia,23.78787879,-64.9912286,-17.0568696
Bosnia and Herz.,60.55555556,17.5961467,44.3053476
Botswana,43.57894737,24.5928742,-23.1681782
Brazil,44.57490397,-53.2,-10.3333333
Bulgaria,54.26153846,25.4856617,42.6073975
Burkina Faso,51.58823529,-1.6880314,12.0753083
Burundi,62.69230769,29.9324519,-3.426449
Cabo Verde,38,-24.0083947,16.0000552
Cambodia,45.25,104.8144914,12.5433216
Cameroon,69.015625,13.1535811,4.6125522
Canada,43.26241135,-107.991707,61.0666922
Central African Rep.,64.16666667,19.9981227,7.0323598
Chad,75.33333333,19.0156172,15.6134137
Chile,87.85185185,-71.3187697,-31.7613365
China,126.9534591,104.999955,35.0000663
Colombia,66.068,-72.9088133,4.099917
Comoros,33,44.2832964,-12.2045176
Congo,87.58333333,23.8222636,-2.9814344
Costa Rica,58.81578947,-84.0739102,10.2735633
Croatia,57.93548387,15.6575209,45.3658443
Cuba,63.07142857,-80.8328748,23.0131338
Cyprus,50.83333333,32.88990265,34.9174159
Czechia,60.90551181,15.3381061,49.7439047
Côte d'Ivoire,53.28358209,-5.5679458,7.9897371
Dem. Rep. Congo,114.8142857,23.8222636,-2.9814344
Denmark,38.01666667,10.3333283,55.670249
Dominican Republic,108.0789474,-70.3028026,19.0974031
Ecuador,45.33333333,-79.3666965,-1.3397668
Egypt,101.65,29.2675469,26.2540493
El Salvador,97.36363636,-88.9140683,13.8000382
Eq. Guinea,45.25,10.5170357,1.613172
Eritrea,99.2,37.9999668,15.9500319
Estonia,38.83333333,25.3319078,58.7523778
Ethiopia,78.73170732,38.6521203,10.2116702
Finland,38.37037037,25.9209164,63.2467777
France,53.33790524,1.8883335,46.603354
Gabon,78.1,11.6899699,-0.8999695
Gambia,147,-15.4900464,13.470062
Georgia,40.6,-83.1137366,32.3293809
Germany,48.24684015,10.4478313,51.1638175
Ghana,62.79310345,-1.0800271,8.0300284
Greece,68.28846154,21.9877132,38.9953683
Guatemala,80.95041322,-90.345759,15.5855545
Guinea,62.47619048,-10.7083587,10.7226226
Guinea-Bissau,138.75,-15.2351044,11.815215
Guyana,45.5,-58.6416891,4.8417097
